Group	Model	Paramater	BestValue
Fungi	 CNN-GRU	reg_rate	0.01
Fungi	 CNN-GRU	optimizers	Adam
Fungi	 CNN-GRU	opt_go_backwards	TRUE
Fungi	 CNN-GRU	opt_dropout_recurrent	0
Fungi	 CNN-GRU	opt_dropout	0
Fungi	 CNN-GRU	maxpool_size	2
Fungi	 CNN-GRU	kernel_size	1
Fungi	 CNN-GRU	gru_hidden_units	8
Fungi	 CNN-GRU	filter_conv	8
Fungi	 CNN-GRU	epochs	60
Fungi	 CNN-GRU	batch_size	8
Fungi	 CNN-GRU	activation_conv	 None
Fungi	 LSTM-EMBEDDING	reg_rate	0.01
Fungi	 LSTM-EMBEDDING	outputdim	16
Fungi	 LSTM-EMBEDDING	optimizers	Adam
Fungi	 LSTM-EMBEDDING	opt_go_backwards	FALSE
Fungi	 LSTM-EMBEDDING	opt_dropout_recurrent	0
Fungi	 LSTM-EMBEDDING	opt_dropout	0
Fungi	 LSTM-EMBEDDING	lstm_hidden_units	32
Fungi	 LSTM-EMBEDDING	epochs	60
Fungi	 LSTM-EMBEDDING	batch_size	8
Fungi	 GRU-Embedding	reg_rate	0.001
Fungi	 GRU-Embedding	outputdim	16
Fungi	 GRU-Embedding	optimizers	Adam
Fungi	 GRU-Embedding	opt_go_backwards	FALSE
Fungi	 GRU-Embedding	opt_dropout_recurrent	0
Fungi	 GRU-Embedding	opt_dropout	0
Fungi	 GRU-Embedding	gru_hidden_units	16
Fungi	 GRU-Embedding	epochs	30
Fungi	 GRU-Embedding	batch_size	8
Oomycete	CNN-LSTM	strides	1
Oomycete	CNN-LSTM	padding	valid
Oomycete	CNN-LSTM	optimizers	Adadelta
Oomycete	CNN-LSTM	number_hidden_units	4
Oomycete	CNN-LSTM	filters_LSTM	16
Oomycete	CNN-LSTM	filters	8
Oomycete	CNN-LSTM	epochs	30
Oomycete	CNN-LSTM	batch_size	16
Oomycete	CNN-LSTM	activation_convolution	None
Oomycete	CNN-LSTM	activation_LSTM	tanh
Oomycete	CNN-GRU	reg_rate	0.001
Oomycete	CNN-GRU	optimizers	Adam
Oomycete	CNN-GRU	opt_go_backwards	TRUE
Oomycete	CNN-GRU	opt_dropout_recurrent	0.25
Oomycete	CNN-GRU	opt_dropout	0
Oomycete	CNN-GRU	maxpool_size	2
Oomycete	CNN-GRU	kernel_size	2
Oomycete	CNN-GRU	gru_hidden_units	8
Oomycete	CNN-GRU	filter_conv	16
Oomycete	CNN-GRU	epochs	30
Oomycete	CNN-GRU	batch_size	8
Oomycete	CNN-GRU	activation_conv	relu
Oomycete	LSTM-Embedding	reg_rate	0.001
Oomycete	LSTM-Embedding	outputdim	64
Oomycete	LSTM-Embedding	optimizers	Adam
Oomycete	LSTM-Embedding	opt_go_backwards	FALSE
Oomycete	LSTM-Embedding	opt_dropout_recurrent	0
Oomycete	LSTM-Embedding	opt_dropout	0
Oomycete	LSTM-Embedding	lstm_hidden_units	32
Oomycete	LSTM-Embedding	epochs	30
Oomycete	LSTM-Embedding	batch_size	4
Oomycete	GRU-Embedding	reg_rate	0.01
Oomycete	GRU-Embedding	outputdim	32
Oomycete	GRU-Embedding	optimizers	sgd
Oomycete	GRU-Embedding	opt_go_backwards	TRUE
Oomycete	GRU-Embedding	opt_dropout_recurrent	0.25
Oomycete	GRU-Embedding	opt_dropout	0.25
Oomycete	GRU-Embedding	gru_hidden_units	16
Oomycete	GRU-Embedding	epochs	30
Oomycete	GRU-Embedding	batch_size	4
